1	7528	7529
2	18583	18584
4	21372	21373
1	25151	25152
4	59242	59243
1	67043	67044
1	72387	72388
1	76445	76446
1	87382	87383
1	94751	94752
1	102381	102382
1	106718	106719
1	106902	106903
2	107759	107760
3	107925	107926
2	108088	108089
1	108093	108094
1	109607	109608
1	116117	116118
6	120742	120743
1	121751	121752
1	121974	121975
2	129241	129242
2	130791	130792
2	132059	132060
1	139385	139386
1	140933	140934
1	142977	142978
1	143375	143376
1	155321	155322
2	155336	155337
1	156028	156029
1	158603	158604
1	159033	159034
1	159039	159040
1	182870	182871
1	203783	203784
1	207297	207298
1	207398	207399
1	232513	232514
1	252331	252332
1	266688	266689
1	269087	269088
2	271732	271733
1	277587	277588
1	283281	283282
1	285776	285777
1	286527	286528
1	288919	288920
1	291010	291011
1	292465	292466
1	294679	294680
1	295108	295109
1	297881	297882
2	305940	305941
2	310199	310200
1	312342	312343
1	319254	319255
1	321246	321247
1	322130	322131
1	329761	329762
1	332335	332336
2	357868	357869
1	378115	378116
1	402181	402182
1	404285	404286
1	412885	412886
1	414775	414776
1	415068	415069
1	419642	419643
1	419930	419931
1	421407	421408
1	421799	421800
1	423451	423452
1	431252	431253
2	453023	453024
1	453110	453111
1	455542	455543
2	465607	465608
1	473020	473021
1	479046	479047
1	479682	479683
1	523466	523467
2	542572	542573
1	544627	544628
1	545147	545148
1	549215	549216
1	552454	552455
2	558762	558763
1	559610	559611
1	563181	563182
1	564169	564170
1	568162	568163
1	568345	568346
1	574232	574233
1	574512	574513
1	576586	576587
1	577487	577488
1	594687	594688
1	594810	594811
1	602812	602813
1	621540	621541
1	624643	624644
1	625662	625663
1	714968	714969
1	728411	728412
1	744395	744396
1	752799	752800
1	756349	756350
1	773574	773575
1	776535	776536
1	779203	779204
1	780481	780482
1	784335	784336
1	790795	790796
1	810645	810646
1	815951	815952
1	816082	816083
1	818445	818446
1	819492	819493
1	819963	819964
2	821417	821418
1	825810	825811
3	825963	825964
2	842691	842692
2	851061	851062
1	851096	851097
1	852709	852710
1	852766	852767
1	855336	855337
1	860320	860321
1	865861	865862
1	868013	868014
1	868352	868353
1	869911	869912
2	870463	870464
1	871095	871096
1	877292	877293
1	885052	885053
1	898646	898647
1	914089	914090
2	922794	922795
1	1026897	1026898
1	1037234	1037235
1	1043225	1043226
1	1048053	1048054
2	1077811	1077812
1	1077979	1077980
1	1080912	1080913
1	1102504	1102505
2	1102506	1102507
1	1108369	1108370
1	1108538	1108539
1	1112987	1112988
1	1119139	1119140
1	1128953	1128954
1	1129234	1129235
1	1134120	1134121
1	1134701	1134702
1	1143202	1143203
1	1147832	1147833
1	1150673	1150674
1	1150782	1150783
1	1156306	1156307
1	1158264	1158265
1	1158678	1158679
1	1163337	1163338
1	1163882	1163883
1	1164469	1164470
1	1166559	1166560
1	1170079	1170080
1	1170233	1170234
1	1172745	1172746
1	1173010	1173011
2	1177705	1177706
1	1177719	1177720
1	1184021	1184022
1	1184087	1184088
1	1186255	1186256
1	1199189	1199190
1	1200236	1200237
1	1204240	1204241
1	1240037	1240038
1	1256825	1256826
1	1329160	1329161
1	1334268	1334269
1	1342095	1342096
1	1344171	1344172
2	1344479	1344480
1	1352869	1352870
1	1354109	1354110
2	1354919	1354920
1	1355924	1355925
1	1359784	1359785
1	1361732	1361733
2	1368101	1368102
1	1420449	1420450
1	1492313	1492314
1	1494089	1494090
1	1495746	1495747
1	1497253	1497254
2	1500286	1500287
1	1500429	1500430
1	1500438	1500439
2	1500760	1500761
1	1502903	1502904
1	1517478	1517479
1	1520612	1520613
1	1522690	1522691
1	1555158	1555159
1	1587155	1587156
1	1611125	1611126
1	1611420	1611421
2	1614182	1614183
1	1704903	1704904
1	1710415	1710416
1	1710465	1710466
1	1724391	1724392
1	1727713	1727714
1	1728415	1728416
1	1728459	1728460
1	1728734	1728735
1	1729578	1729579
1	1729629	1729630
1	1729945	1729946
1	1732263	1732264
1	1732525	1732526
1	1737468	1737469
1	1752116	1752117
1	1752348	1752349
1	1756451	1756452
1	1759078	1759079
1	1784061	1784062
1	1791823	1791824
1	1793268	1793269
1	1794917	1794918
1	1823331	1823332
1	1826055	1826056
1	1832557	1832558
2	1836629	1836630
1	1869866	1869867
1	1880644	1880645
1	1884056	1884057
2	1884983	1884984
1	1911743	1911744
2	1928410	1928411
1	1945709	1945710
1	1947359	1947360
1	1954519	1954520
1	1974144	1974145
1	1980612	1980613
1	1981309	1981310
1	1982233	1982234
1	1988290	1988291
2	1992152	1992153
1	2005615	2005616
1	2007193	2007194
1	2008529	2008530
1	2010117	2010118
1	2017539	2017540
1	2024042	2024043
1	2037801	2037802
1	2038019	2038020
1	2039732	2039733
1	2045524	2045525
1	2054588	2054589
1	2079976	2079977
1	2109836	2109837
1	2129211	2129212
2	2130814	2130815
1	2145175	2145176
1	2147287	2147288
1	2147518	2147519
2	2151663	2151664
1	2155759	2155760
1	2161522	2161523
1	2178749	2178750
2	2192372	2192373
1	2206028	2206029
1	2208906	2208907
1	2212571	2212572
1	2214179	2214180
1	2216298	2216299
1	2217231	2217232
1	2217362	2217363
1	2220766	2220767
1	2222105	2222106
1	2222656	2222657
1	2223199	2223200
1	2226285	2226286
3	2226522	2226523
1	2236826	2236827
1	2238245	2238246
1	2239365	2239366
1	2240593	2240594
1	2242377	2242378
1	2251270	2251271
1	2252330	2252331
1	2253078	2253079
1	2255050	2255051
2	2263463	2263464
1	2265311	2265312
1	2285173	2285174
1	2286844	2286845
1	2289370	2289371
1	2290622	2290623
1	2300118	2300119
1	2308026	2308027
1	2311692	2311693
1	2357323	2357324
1	2357332	2357333
1	2362761	2362762
1	2363501	2363502
1	2364697	2364698
1	2364721	2364722
1	2364952	2364953
1	2365334	2365335
1	2365346	2365347
1	2365362	2365363
1	2371524	2371525
1	2374511	2374512
1	2374688	2374689
1	2375893	2375894
1	2376186	2376187
1	2381139	2381140
1	2383298	2383299
1	2385792	2385793
1	2400305	2400306
1	2412129	2412130
1	2416656	2416657
1	2416720	2416721
1	2420807	2420808
1	2428453	2428454
1	2449060	2449061
1	2451006	2451007
1	2454738	2454739
2	2492666	2492667
4	2492954	2492955
1	2518037	2518038
1	2552844	2552845
1	2564848	2564849
1	2573047	2573048
1	2575080	2575081
1	2577006	2577007
1	2577670	2577671
1	2580038	2580039
1	2580056	2580057
1	2580290	2580291
1	2585448	2585449
1	2610145	2610146
1	2647645	2647646
1	2652291	2652292
1	2653111	2653112
1	2654124	2654125
1	2655393	2655394
1	2665109	2665110
1	2669822	2669823
1	2670922	2670923
1	2696318	2696319
1	2730105	2730106
2	2730125	2730126
1	2730837	2730838
1	2739985	2739986
2	2740041	2740042
1	2740994	2740995
1	2744934	2744935
1	2745101	2745102
1	2752798	2752799
1	2753233	2753234
2	2759710	2759711
1	2759914	2759915
1	2765686	2765687
1	2766234	2766235
1	2767911	2767912
1	2768166	2768167
4	2770066	2770067
1	2770136	2770137
1	2770193	2770194
1	2771735	2771736
1	2793269	2793270
3	2799970	2799971
1	2805517	2805518
1	2808320	2808321
1	2812436	2812437
1	2815760	2815761
1	2825506	2825507
1	2830236	2830237
2	2837831	2837832
1	2838413	2838414
1	2840123	2840124
1	2844513	2844514
1	2845711	2845712
1	2847197	2847198
1	2847631	2847632
1	2855307	2855308
1	2855749	2855750
3	2856069	2856070
2	2857158	2857159
1	2862538	2862539
1	2869651	2869652
1	2874518	2874519
1	2874871	2874872
1	2878149	2878150
1	2878592	2878593
1	2879123	2879124
1	2883113	2883114
1	2883126	2883127
1	2885208	2885209
1	2885850	2885851
2	2885951	2885952
1	2885957	2885958
2	2888283	2888284
1	2890170	2890171
1	2946562	2946563
2	2954761	2954762
2	2956900	2956901
1	2956932	2956933
2	2959146	2959147
1	2969620	2969621
2	2972676	2972677
1	2972891	2972892
1	2976835	2976836
1	2976859	2976860
1	2977126	2977127
1	2979410	2979411
1	2988134	2988135
1	2992761	2992762
3	2992963	2992964
1	3013500	3013501
2	3018289	3018290
1	3018507	3018508
1	3023148	3023149
1	3023234	3023235
1	3023255	3023256
1	3029189	3029190
1	3029256	3029257
1	3030544	3030545
1	3030561	3030562
1	3035348	3035349
1	3037403	3037404
1	3037410	3037411
1	3039975	3039976
1	3040111	3040112
1	3042915	3042916
1	3043972	3043973
1	3056614	3056615
1	3058461	3058462
1	3072308	3072309
1	3090911	3090912
1	3094695	3094696
1	3108142	3108143
1	3109671	3109672
1	3112336	3112337
1	3128719	3128720
1	3144613	3144614
1	3145719	3145720
1	3159630	3159631
1	3159955	3159956
1	3163646	3163647
1	3173826	3173827
1	3173991	3173992
1	3259801	3259802
1	3279457	3279458
1	3280533	3280534
1	3294682	3294683
2	3294690	3294691
1	3303129	3303130
1	3309221	3309222
1	3313346	3313347
1	3319872	3319873
1	3320589	3320590
1	3324242	3324243
1	3327935	3327936
1	3330952	3330953
1	3332910	3332911
1	3338447	3338448
2	3355000	3355001
1	3357683	3357684
1	3375711	3375712
1	3376686	3376687
1	3377007	3377008
1	3410603	3410604
1	3416692	3416693
1	3422952	3422953
1	3445996	3445997
1	3449685	3449686
1	3452450	3452451
1	3457058	3457059
1	3457328	3457329
1	3461975	3461976
2	3466111	3466112
1	3466161	3466162
1	3466241	3466242
1	3470007	3470008
1	3470181	3470182
1	3472734	3472735
1	3472757	3472758
1	3478433	3478434
1	3491048	3491049
6	3506741	3506742
1	3507216	3507217
1	3507303	3507304
1	3510082	3510083
1	3514662	3514663
1	3514736	3514737
1	3519697	3519698
2	3520261	3520262
1	3523960	3523961
1	3525132	3525133
1	3530286	3530287
1	3530902	3530903
1	3539250	3539251
1	3539734	3539735
1	3580766	3580767
1	3606748	3606749
1	3619190	3619191
